Date_reported,Country_code,Country,WHO_region,adjusted_cum_cases
24/05/2020,KP,Democratic People's Republic of Korea,SEARO,0
25/05/2020,KP,Democratic People's Republic of Korea,SEARO,0
26/05/2020,KP,Democratic People's Republic of Korea,SEARO,0
27/05/2020,KP,Democratic People's Republic of Korea,SEARO,0
28/05/2020,KP,Democratic People's Republic of Korea,SEARO,0
29/05/2020,KP,Democratic People's Republic of Korea,SEARO,0
30/05/2020,KP,Democratic People's Republic of Korea,SEARO,0
31/05/2020,KP,Democratic People's Republic of Korea,SEARO,0
01/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
02/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
03/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
04/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
05/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
06/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
07/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
08/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
09/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
10/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
11/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
12/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
13/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
14/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
15/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
16/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
17/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
18/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
19/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
20/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
21/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
22/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
23/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
24/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
25/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
26/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
27/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
28/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
29/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
30/06/2020,KP,Democratic People's Republic of Korea,SEARO,0
01/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
02/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
03/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
04/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
05/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
06/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
07/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
08/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
09/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
10/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
11/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
12/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
13/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
14/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
15/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
16/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
17/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
18/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
19/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
20/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
21/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
22/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
23/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
24/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
25/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
26/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
27/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
28/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
29/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
30/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
31/07/2020,KP,Democratic People's Republic of Korea,SEARO,0
01/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
02/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
03/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
04/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
05/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
06/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
07/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
08/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
09/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
10/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
11/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
12/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
13/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
14/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
15/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
16/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
17/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
18/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
19/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
20/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
21/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
22/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
23/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
24/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
25/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
26/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
27/08/2020,KP,Democratic People's Republic of Korea,SEARO,0
